wid,cat_id,raw_outcome,outcome
w9519f11,SPORTS,tennis,tennis
w9519f11,SPORTS,hockey,UNK
w9519f11,SPORTS,football,football
w9519f11,SPORTS,basketball,basketball
w9519f11,SPORTS,sw,UNK
w9519f11,SUBJECTS,Language,UNK
w9519f11,SUBJECTS,Math,UNK
w9519f11,SUBJECTS,Physics,physics
w9519f11,SUBJECTS,chemist,UNK
w9519f11,EUROCITIES,Paris,paris
w9519f11,EUROCITIES,London,london
w9519f11,EUROCITIES,Prague,UNK
w9519f11,EUROCITIES,Vienna,vienna
w9519f11,EUROCITIES,Amsterdam,amsterdam
w9519f11,TRANSPORT,Ship,UNK
w9519f11,TRANSPORT,Car,car
w9519f11,TRANSPORT,Bike,UNK
w9519f11,TRANSPORT,Plane,plane
w9519f11,TRANSPORT,train ,train
w9519f11,ANIMALS,Lion,lion
w9519f11,ANIMALS,Tiger,tiger
w9519f11,ANIMALS,Wolf,UNK
w9519f11,ANIMALS,Fox,UNK
w9519f11,ANIMALS,S,UNK
weeccfcf,EUROCITIES,copenhagen,UNK
weeccfcf,EUROCITIES,stockholm,UNK
weeccfcf,EUROCITIES,paris,paris
weeccfcf,EUROCITIES,prague,UNK
weeccfcf,TRANSPORT,car,car
weeccfcf,TRANSPORT,truck,UNK
weeccfcf,TRANSPORT,bus,bus
weeccfcf,TRANSPORT,plane,plane
weeccfcf,TRANSPORT,boat,boat
weeccfcf,TRANSPORT,scooter,scooter
weeccfcf,TRANSPORT,roller skate,UNK
weeccfcf,TRANSPORT,bike,UNK
weeccfcf,TRANSPORT,moro,UNK
weeccfcf,ANIMALS,lion,lion
weeccfcf,ANIMALS,tiger,tiger
weeccfcf,ANIMALS,shark,UNK
weeccfcf,ANIMALS,platypus,UNK
weeccfcf,ANIMALS,giraffe,giraffe
weeccfcf,ANIMALS,seal,UNK
weeccfcf,ANIMALS,octopus,UNK
weeccfcf,SUBJECTS,science,UNK
weeccfcf,SUBJECTS,math,UNK
weeccfcf,SUBJECTS,grammar,UNK
weeccfcf,SUBJECTS,psychology,UNK
weeccfcf,SUBJECTS,writing,UNK
weeccfcf,SPORTS,soccer,soccer
weeccfcf,SPORTS,football,football
weeccfcf,SPORTS,baseball,baseball
weeccfcf,SPORTS,skating,UNK
weeccfcf,SPORTS,skiing,UNK
weeccfcf,SPORTS,basketball,basketball
wbbe84c9,TRANSPORT,car,car
wbbe84c9,TRANSPORT,train,train
wbbe84c9,TRANSPORT,auto,UNK
wbbe84c9,TRANSPORT,airplane,UNK
wbbe84c9,TRANSPORT,bicycle,bicycle
wbbe84c9,TRANSPORT,walking,UNK
wbbe84c9,TRANSPORT,driving,UNK
wbbe84c9,SUBJECTS,math,UNK
wbbe84c9,SUBJECTS,english,english
wbbe84c9,SUBJECTS,science,UNK
wbbe84c9,SUBJECTS,biology,biology
wbbe84c9,SUBJECTS,anatomy,UNK
wbbe84c9,SUBJECTS,chemistry,chemistry
wbbe84c9,SUBJECTS,calcu,UNK
wbbe84c9,EUROCITIES,london,london
wbbe84c9,EUROCITIES,newquay,UNK
wbbe84c9,EUROCITIES,prag,UNK
wbbe84c9,SPORTS,baseball,baseball
wbbe84c9,SPORTS,hockey,UNK
wbbe84c9,SPORTS,basketball,basketball
wbbe84c9,SPORTS,football,football
wbbe84c9,SPORTS,golf,golf
wbbe84c9,SPORTS,diving,UNK
wbbe84c9,ANIMALS,monkey,monkey
wbbe84c9,ANIMALS,zebra,zebra
wbbe84c9,ANIMALS,alligator,UNK
wbbe84c9,ANIMALS,lion,lion
wbbe84c9,ANIMALS,tiger,tiger
wbbe84c9,ANIMALS,seal,UNK
