wid,control,consideration_time,reflection_time,n_considered,n_unconsidered,time_limit,completed,bonus,version
weeccfcf,low,8,10,100,100,15,True,0.0,acc-v1.2
w1e50370,low,8,10,100,100,15,True,0.0,acc-v1.2
wfcff4bf,low,8,10,100,100,15,True,0.0,acc-v1.2
wee82eb0,low,8,10,100,100,15,True,0.0,acc-v1.2
w4450d62,low,8,10,100,100,15,,,acc-v1.2
w09589ea,low,8,10,100,100,15,True,0.0,acc-v1.2
w9519f11,low,8,10,100,100,15,True,0.0,acc-v1.2
wa0c5a8d,low,8,10,100,100,15,True,0.0,acc-v1.2
w5f76b1b,low,8,10,100,100,15,,,acc-v1.2
w6eb4b72,low,8,10,100,100,15,True,0.0,acc-v1.2
wcf11388,low,8,10,100,100,15,True,0.0,acc-v1.2
w4fac0c2,low,8,10,100,100,15,True,0.0,acc-v1.2
wcc8d711,low,8,10,100,100,15,True,0.0,acc-v1.2
w1f40bb2,low,8,10,100,100,15,True,0.0,acc-v1.2
wbbe84c9,low,8,10,100,100,15,True,0.0,acc-v1.2
w5d3117b,low,8,10,100,100,15,True,0.0,acc-v1.2
wfab0200,low,8,10,100,100,15,True,0.0,acc-v1.2
wf6615db,low,8,10,100,100,15,True,0.0,acc-v1.2
w77e3427,low,8,10,100,100,15,True,0.0,acc-v1.2
waef543d,low,8,10,100,100,15,True,0.0,acc-v1.2
w2ae9e02,low,8,10,100,100,15,,,acc-v1.2
w7ae54ef,low,8,10,100,100,15,True,0.0,acc-v1.2
w50039bb,low,8,10,100,100,15,True,0.0,acc-v1.2
wc51e67b,low,8,10,100,100,15,True,0.0,acc-v1.2
wd14bc6a,low,8,10,100,100,15,,,acc-v1.2
wa83374e,low,8,10,100,100,15,True,0.0,acc-v1.2
w8eeaa0b,low,8,10,100,100,15,True,0.0,acc-v1.2
wf276dd5,low,8,10,100,100,15,True,0.0,acc-v1.2
w7f4f2f2,low,8,10,100,100,15,True,0.0,acc-v1.2
w99efbf2,low,8,10,100,100,15,True,0.0,acc-v1.2
w20abc9a,low,8,10,100,100,15,True,0.0,acc-v1.2
w4c76cf9,low,8,10,100,100,15,True,0.0,acc-v1.2
w4e1703f,low,8,10,100,100,15,True,0.0,acc-v1.2
wbca2ba2,low,8,10,100,100,15,True,0.0,acc-v1.2
w5332db0,low,8,10,100,100,15,True,0.0,acc-v1.2
wc3d8c1b,low,8,10,100,100,15,True,0.0,acc-v1.2
w57d17ab,low,8,10,100,100,15,True,0.0,acc-v1.2
wfc6816b,low,8,10,100,100,15,True,0.0,acc-v1.2
w4d363aa,low,8,10,100,100,15,True,0.0,acc-v1.2
wbd821e1,low,8,10,100,100,15,True,0.0,acc-v1.2
wbc2e3bc,low,8,10,100,100,15,True,0.0,acc-v1.2
wad10e53,low,8,10,100,100,15,True,0.0,acc-v1.2
w0923c86,low,8,10,100,100,15,True,0.0,acc-v1.2
w5000995,low,8,10,100,100,15,True,0.0,acc-v1.2
wc484592,low,8,10,100,100,15,True,0.0,acc-v1.2
w744046e,low,8,10,100,100,15,True,0.0,acc-v1.2
w37a578f,low,8,10,100,100,15,True,0.0,acc-v1.2
wcc64eaa,low,8,10,100,100,15,,,acc-v1.2
we7389c0,low,8,10,100,100,15,True,0.0,acc-v1.2
w07f0349,low,8,10,100,100,15,True,0.0,acc-v1.2
w319a0e1,low,8,10,100,100,15,True,0.0,acc-v1.2
w9909d2d,low,8,10,100,100,15,True,0.0,acc-v1.2
wcfbe69a,low,8,10,100,100,15,True,0.0,acc-v1.2
w0c6322e,low,8,10,100,100,15,True,0.0,acc-v1.2
w2bbbc8a,low,8,10,100,100,15,True,0.0,acc-v1.2
wab341e8,low,8,10,100,100,15,True,0.0,acc-v1.2
