outcome,accessibility,wid,evaluation,scenario,control,order,considered,evaluation_z,abs_eval,abs_eval_z
zebra,0.5473684210526316,w6c23a1b,7,animals (intimate),high,1,TRUE,1.716553272061919,7,2.0347014084122623
lion,0.7789473684210526,w6c23a1b,3,animals (intimate),high,2,TRUE,0.6522431500152971,3,-0.18140711352109318
monkey,0.4105263157894737,w6c23a1b,-4,animals (intimate),high,3,TRUE,-1.2102995635662914,4,0.3726200169622457
polar bear,0.05263157894736842,w6c23a1b,2,animals (intimate),high,4,TRUE,0.3861656195036416,2,-0.735434244004432
flamingo,0.06315789473684211,w6c23a1b,-3,animals (intimate),high,5,TRUE,-0.9442220330546358,3,-0.18140711352109318
gorilla,0.17894736842105263,w6c23a1b,-4,animals (intimate),high,6,TRUE,-1.2102995635662914,4,0.3726200169622457
giraffe,0.4631578947368421,w6c23a1b,4,animals (intimate),high,7,TRUE,0.9183206805269526,4,0.3726200169622457
tiger,0.5789473684210527,w6c23a1b,1,animals (intimate),high,8,TRUE,0.12008808899198611,1,-1.289461374487771
alligator,0.021052631578947368,w6c23a1b,-2,animals (intimate),high,NA,FALSE,-0.6781445025429803,2,-0.735434244004432
bear,0.35789473684210527,w6c23a1b,-3,animals (intimate),high,NA,FALSE,-0.9442220330546358,3,-0.18140711352109318
bird,0.042105263157894736,w6c23a1b,3,animals (intimate),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
cheetah,0.021052631578947368,w6c23a1b,-2,animals (intimate),high,NA,FALSE,-0.6781445025429803,2,-0.735434244004432
crocodile,0.021052631578947368,w6c23a1b,-2,animals (intimate),high,NA,FALSE,-0.6781445025429803,2,-0.735434244004432
dolphin,0.031578947368421054,w6c23a1b,7,animals (intimate),high,NA,FALSE,1.716553272061919,7,2.0347014084122623
elephant,0.4631578947368421,w6c23a1b,2,animals (intimate),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
fish,0.031578947368421054,w6c23a1b,5,animals (intimate),high,NA,FALSE,1.184398211038608,5,0.9266471474455846
frog,0.031578947368421054,w6c23a1b,4,animals (intimate),high,NA,FALSE,0.9183206805269526,4,0.3726200169622457
