outcome,accessibility,wid,evaluation,scenario,control,order,considered,evaluation_z,abs_eval,abs_eval_z
hippo,0.042105263157894736,w6c23a1b,-2,animals (intimate),high,NA,FALSE,-0.6781445025429803,2,-0.735434244004432
horse,0.05263157894736842,w6c23a1b,4,animals (intimate),high,NA,FALSE,0.9183206805269526,4,0.3726200169622457
kangaroo,0.05263157894736842,w6c23a1b,3,animals (intimate),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
koala,0.031578947368421054,w6c23a1b,5,animals (intimate),high,NA,FALSE,1.184398211038608,5,0.9266471474455846
lemur,0.05263157894736842,w6c23a1b,2,animals (intimate),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
leopard,0.031578947368421054,w6c23a1b,2,animals (intimate),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
lizard,0.031578947368421054,w6c23a1b,2,animals (intimate),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
llama,0.021052631578947368,w6c23a1b,-2,animals (intimate),high,NA,FALSE,-0.6781445025429803,2,-0.735434244004432
meerkat,0.031578947368421054,w6c23a1b,4,animals (intimate),high,NA,FALSE,0.9183206805269526,4,0.3726200169622457
ostrich,0.042105263157894736,w6c23a1b,-3,animals (intimate),high,NA,FALSE,-0.9442220330546358,3,-0.18140711352109318
otter,0.021052631578947368,w6c23a1b,7,animals (intimate),high,NA,FALSE,1.716553272061919,7,2.0347014084122623
panda,0.14736842105263157,w6c23a1b,7,animals (intimate),high,NA,FALSE,1.716553272061919,7,2.0347014084122623
penguin,0.10526315789473684,w6c23a1b,5,animals (intimate),high,NA,FALSE,1.184398211038608,5,0.9266471474455846
rhinoceros,0.05263157894736842,w6c23a1b,3,animals (intimate),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
sea lion,0.021052631578947368,w6c23a1b,3,animals (intimate),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
seal,0.042105263157894736,w6c23a1b,3,animals (intimate),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
shark,0.021052631578947368,w6c23a1b,2,animals (intimate),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
snake,0.12631578947368421,w6c23a1b,5,animals (intimate),high,NA,FALSE,1.184398211038608,5,0.9266471474455846
turtle,0.021052631578947368,w6c23a1b,6,animals (intimate),high,NA,FALSE,1.4504757415502634,6,1.4806742779289235
wolf,0.042105263157894736,w6c23a1b,4,animals (intimate),high,NA,FALSE,0.9183206805269526,4,0.3726200169622457
football,0.8842105263157894,w6c23a1b,1,sports (season),high,1,TRUE,0.12008808899198611,1,-1.289461374487771
basketball,0.631578947368421,w6c23a1b,3,sports (season),high,2,TRUE,0.6522431500152971,3,-0.18140711352109318
swimming,0.09473684210526316,w6c23a1b,-2,sports (season),high,3,TRUE,-0.6781445025429803,2,-0.735434244004432
gymnastics,0.031578947368421054,w6c23a1b,8,sports (season),high,4,TRUE,1.9826308025735744,8,2.588728538895601
golf,0.14736842105263157,w6c23a1b,-8,sports (season),high,5,TRUE,-2.2746096856129134,8,2.588728538895601
volleyball,0.07368421052631578,w6c23a1b,2,sports (season),high,6,TRUE,0.3861656195036416,2,-0.735434244004432
skiing,0.042105263157894736,w6c23a1b,5,sports (season),high,7,TRUE,1.184398211038608,5,0.9266471474455846
figure skating,0.08421052631578947,w6c23a1b,5,sports (season),high,8,TRUE,1.184398211038608,5,0.9266471474455846
archery,0.021052631578947368,w6c23a1b,-2,sports (season),high,NA,FALSE,-0.6781445025429803,2,-0.735434244004432
baseball,0.7684210526315789,w6c23a1b,2,sports (season),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
bowling,0.021052631578947368,w6c23a1b,-5,sports (season),high,NA,FALSE,-1.476377094077947,5,0.9266471474455846
boxing,0.042105263157894736,w6c23a1b,-7,sports (season),high,NA,FALSE,-2.008532155101258,7,2.0347014084122623
cricket,0.05263157894736842,w6c23a1b,-4,sports (season),high,NA,FALSE,-1.2102995635662914,4,0.3726200169622457
diving,0.021052631578947368,w6c23a1b,3,sports (season),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
fencing,0.021052631578947368,w6c23a1b,-3,sports (season),high,NA,FALSE,-0.9442220330546358,3,-0.18140711352109318
hockey,0.5157894736842106,w6c23a1b,1,sports (season),high,NA,FALSE,0.12008808899198611,1,-1.289461374487771
lacrosse,0.042105263157894736,w6c23a1b,-2,sports (season),high,NA,FALSE,-0.6781445025429803,2,-0.735434244004432
mixed martial arts,0.042105263157894736,w6c23a1b,-1,sports (season),high,NA,FALSE,-0.41206697203132486,1,-1.289461374487771
rugby,0.11578947368421053,w6c23a1b,2,sports (season),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
snowboarding,0.042105263157894736,w6c23a1b,3,sports (season),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
soccer,0.7684210526315789,w6c23a1b,3,sports (season),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
softball,0.06315789473684211,w6c23a1b,-2,sports (season),high,NA,FALSE,-0.6781445025429803,2,-0.735434244004432
tennis,0.3473684210526316,w6c23a1b,-2,sports (season),high,NA,FALSE,-0.6781445025429803,2,-0.735434244004432
track,0.042105263157894736,w6c23a1b,-6,sports (season),high,NA,FALSE,-1.7424546245896024,6,1.4806742779289235
wrestling,0.042105263157894736,w6c23a1b,-9,sports (season),high,NA,FALSE,-2.540687216124569,9,3.14275566937894
math,0.8736842105263158,w6c23a1b,2,subjects (school),high,1,TRUE,0.3861656195036416,2,-0.735434244004432
chemistry,0.18947368421052632,w6c23a1b,-6,subjects (school),high,2,TRUE,-1.7424546245896024,6,1.4806742779289235
english,0.7052631578947368,w6c23a1b,3,subjects (school),high,3,TRUE,0.6522431500152971,3,-0.18140711352109318
computer science,0.021052631578947368,w6c23a1b,-3,subjects (school),high,4,TRUE,-0.9442220330546358,3,-0.18140711352109318
biology,0.24210526315789474,w6c23a1b,-5,subjects (school),high,5,TRUE,-1.476377094077947,5,0.9266471474455846
algebra,0.06315789473684211,w6c23a1b,3,subjects (school),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
art,0.12631578947368421,w6c23a1b,3,subjects (school),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
calculus,0.021052631578947368,w6c23a1b,0,subjects (school),high,NA,FALSE,-0.1459894415196694,0,-1.8434885049711098
economics,0.021052631578947368,w6c23a1b,-5,subjects (school),high,NA,FALSE,-1.476377094077947,5,0.9266471474455846
engineering,0.021052631578947368,w6c23a1b,-3,subjects (school),high,NA,FALSE,-0.9442220330546358,3,-0.18140711352109318
french,0.042105263157894736,w6c23a1b,-3,subjects (school),high,NA,FALSE,-0.9442220330546358,3,-0.18140711352109318
geography,0.05263157894736842,w6c23a1b,1,subjects (school),high,NA,FALSE,0.12008808899198611,1,-1.289461374487771
geology,0.021052631578947368,w6c23a1b,2,subjects (school),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
geometry,0.042105263157894736,w6c23a1b,2,subjects (school),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
german,0.021052631578947368,w6c23a1b,2,subjects (school),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
history,0.4842105263157895,w6c23a1b,2,subjects (school),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
latin,0.031578947368421054,w6c23a1b,-2,subjects (school),high,NA,FALSE,-0.6781445025429803,2,-0.735434244004432
literature,0.12631578947368421,w6c23a1b,3,subjects (school),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
music,0.042105263157894736,w6c23a1b,7,subjects (school),high,NA,FALSE,1.716553272061919,7,2.0347014084122623
philosophy,0.031578947368421054,w6c23a1b,4,subjects (school),high,NA,FALSE,0.9183206805269526,4,0.3726200169622457
physics,0.10526315789473684,w6c23a1b,1,subjects (school),high,NA,FALSE,0.12008808899198611,1,-1.289461374487771
political science,0.031578947368421054,w6c23a1b,3,subjects (school),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
psychology,0.07368421052631578,w6c23a1b,3,subjects (school),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
religion,0.021052631578947368,w6c23a1b,5,subjects (school),high,NA,FALSE,1.184398211038608,5,0.9266471474455846
science,0.6631578947368421,w6c23a1b,-5,subjects (school),high,NA,FALSE,-1.476377094077947,5,0.9266471474455846
sociology,0.021052631578947368,w6c23a1b,3,subjects (school),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
spanish,0.10526315789473684,w6c23a1b,-3,subjects (school),high,NA,FALSE,-0.9442220330546358,3,-0.18140711352109318
statistics,0.021052631578947368,w6c23a1b,-7,subjects (school),high,NA,FALSE,-2.008532155101258,7,2.0347014084122623
bus,0.7894736842105263,w6c23a1b,3,vehicles (commute),high,1,TRUE,0.6522431500152971,3,-0.18140711352109318
airplane,0.7368421052631579,w6c23a1b,-2,vehicles (commute),high,2,TRUE,-0.6781445025429803,2,-0.735434244004432
car,0.9789473684210527,w6c23a1b,5,vehicles (commute),high,3,TRUE,1.184398211038608,5,0.9266471474455846
train,0.8210526315789474,w6c23a1b,2,vehicles (commute),high,4,TRUE,0.3861656195036416,2,-0.735434244004432
subway,0.11578947368421053,w6c23a1b,2,vehicles (commute),high,5,TRUE,0.3861656195036416,2,-0.735434244004432
scooter,0.2,w6c23a1b,-5,vehicles (commute),high,6,TRUE,-1.476377094077947,5,0.9266471474455846
walking,0.3684210526315789,w6c23a1b,1,vehicles (commute),high,7,TRUE,0.12008808899198611,1,-1.289461374487771
bicycle,0.6842105263157895,w6c23a1b,3,vehicles (commute),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
boat,0.3473684210526316,w6c23a1b,-3,vehicles (commute),high,NA,FALSE,-0.9442220330546358,3,-0.18140711352109318
cab,0.031578947368421054,w6c23a1b,2,vehicles (commute),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
ferry,0.021052631578947368,w6c23a1b,-3,vehicles (commute),high,NA,FALSE,-0.9442220330546358,3,-0.18140711352109318
helicopter,0.042105263157894736,w6c23a1b,-3,vehicles (commute),high,NA,FALSE,-0.9442220330546358,3,-0.18140711352109318
horse,0.05263157894736842,w6c23a1b,-3,vehicles (commute),high,NA,FALSE,-0.9442220330546358,3,-0.18140711352109318
moped,0.021052631578947368,w6c23a1b,-4,vehicles (commute),high,NA,FALSE,-1.2102995635662914,4,0.3726200169622457
motorcycle,0.12631578947368421,w6c23a1b,3,vehicles (commute),high,NA,FALSE,0.6522431500152971,3,-0.18140711352109318
ship,0.031578947368421054,w6c23a1b,-3,vehicles (commute),high,NA,FALSE,-0.9442220330546358,3,-0.18140711352109318
skateboard,0.11578947368421053,w6c23a1b,2,vehicles (commute),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
taxi,0.08421052631578947,w6c23a1b,1,vehicles (commute),high,NA,FALSE,0.12008808899198611,1,-1.289461374487771
tram,0.042105263157894736,w6c23a1b,1,vehicles (commute),high,NA,FALSE,0.12008808899198611,1,-1.289461374487771
trolley,0.042105263157894736,w6c23a1b,-1,vehicles (commute),high,NA,FALSE,-0.41206697203132486,1,-1.289461374487771
truck,0.16842105263157894,w6c23a1b,-2,vehicles (commute),high,NA,FALSE,-0.6781445025429803,2,-0.735434244004432
uber,0.021052631578947368,w6c23a1b,2,vehicles (commute),high,NA,FALSE,0.3861656195036416,2,-0.735434244004432
unicycle,0.021052631578947368,w6c23a1b,-6,vehicles (commute),high,NA,FALSE,-1.7424546245896024,6,1.4806742779289235
elephant,0.4631578947368421,w6d7538b,8,animals (bubble),high,1,TRUE,1.2680023321057499,8,1.0962792112199358
tiger,0.5789473684210527,w6d7538b,5,animals (bubble),high,2,TRUE,0.6971486925521653,5,0.279490963739588
lion,0.7789473684210526,w6d7538b,8,animals (bubble),high,3,TRUE,1.2680023321057499,8,1.0962792112199358
panda,0.14736842105263157,w6d7538b,10,animals (bubble),high,4,TRUE,1.6485714251414731,10,1.6408047095401677
polar bear,0.05263157894736842,w6d7538b,10,animals (bubble),high,5,TRUE,1.6485714251414731,10,1.6408047095401677
penguin,0.10526315789473684,w6d7538b,10,animals (bubble),high,6,TRUE,1.6485714251414731,10,1.6408047095401677
alligator,0.021052631578947368,w6d7538b,-3,animals (bubble),high,NA,FALSE,-0.8251276795907271,3,-0.2650345345806439
bear,0.35789473684210527,w6d7538b,7,animals (bubble),high,NA,FALSE,1.0777177855878883,7,0.8240164620598198
bird,0.042105263157894736,w6d7538b,-6,animals (bubble),high,NA,FALSE,-1.3959813191443118,6,0.551753712899704
cheetah,0.021052631578947368,w6d7538b,3,animals (bubble),high,NA,FALSE,0.3165795995164422,3,-0.2650345345806439
crocodile,0.021052631578947368,w6d7538b,-2,animals (bubble),high,NA,FALSE,-0.6348431330728656,2,-0.5372972837407598
dolphin,0.031578947368421054,w6d7538b,10,animals (bubble),high,NA,FALSE,1.6485714251414731,10,1.6408047095401677
fish,0.031578947368421054,w6d7538b,-4,animals (bubble),high,NA,FALSE,-1.0154122261085887,4,0.007228214579472056
flamingo,0.06315789473684211,w6d7538b,1,animals (bubble),high,NA,FALSE,-0.06398949351928089,1,-0.8095600329008757
frog,0.031578947368421054,w6d7538b,-7,animals (bubble),high,NA,FALSE,-1.5862658656621733,7,0.8240164620598198
giraffe,0.4631578947368421,w6d7538b,7,animals (bubble),high,NA,FALSE,1.0777177855878883,7,0.8240164620598198
gorilla,0.17894736842105263,w6d7538b,1,animals (bubble),high,NA,FALSE,-0.06398949351928089,1,-0.8095600329008757
hippo,0.042105263157894736,w6d7538b,1,animals (bubble),high,NA,FALSE,-0.06398949351928089,1,-0.8095600329008757
horse,0.05263157894736842,w6d7538b,1,animals (bubble),high,NA,FALSE,-0.06398949351928089,1,-0.8095600329008757
kangaroo,0.05263157894736842,w6d7538b,6,animals (bubble),high,NA,FALSE,0.8874332390700269,6,0.551753712899704
koala,0.031578947368421054,w6d7538b,10,animals (bubble),high,NA,FALSE,1.6485714251414731,10,1.6408047095401677
lemur,0.05263157894736842,w6d7538b,-1,animals (bubble),high,NA,FALSE,-0.44455858655500397,1,-0.8095600329008757
leopard,0.031578947368421054,w6d7538b,3,animals (bubble),high,NA,FALSE,0.3165795995164422,3,-0.2650345345806439
lizard,0.031578947368421054,w6d7538b,-8,animals (bubble),high,NA,FALSE,-1.7765504121800348,8,1.0962792112199358
llama,0.021052631578947368,w6d7538b,3,animals (bubble),high,NA,FALSE,0.3165795995164422,3,-0.2650345345806439
meerkat,0.031578947368421054,w6d7538b,-1,animals (bubble),high,NA,FALSE,-0.44455858655500397,1,-0.8095600329008757
monkey,0.4105263157894737,w6d7538b,-2,animals (bubble),high,NA,FALSE,-0.6348431330728656,2,-0.5372972837407598
ostrich,0.042105263157894736,w6d7538b,-9,animals (bubble),high,NA,FALSE,-1.9668349586978964,9,1.3685419603800517
otter,0.021052631578947368,w6d7538b,9,animals (bubble),high,NA,FALSE,1.4582868786236116,9,1.3685419603800517
rhinoceros,0.05263157894736842,w6d7538b,1,animals (bubble),high,NA,FALSE,-0.06398949351928089,1,-0.8095600329008757
sea lion,0.021052631578947368,w6d7538b,9,animals (bubble),high,NA,FALSE,1.4582868786236116,9,1.3685419603800517
seal,0.042105263157894736,w6d7538b,8,animals (bubble),high,NA,FALSE,1.2680023321057499,8,1.0962792112199358
shark,0.021052631578947368,w6d7538b,7,animals (bubble),high,NA,FALSE,1.0777177855878883,7,0.8240164620598198
snake,0.12631578947368421,w6d7538b,-10,animals (bubble),high,NA,FALSE,-2.157119505215758,10,1.6408047095401677
turtle,0.021052631578947368,w6d7538b,8,animals (bubble),high,NA,FALSE,1.2680023321057499,8,1.0962792112199358
wolf,0.042105263157894736,w6d7538b,5,animals (bubble),high,NA,FALSE,0.6971486925521653,5,0.279490963739588
zebra,0.5473684210526316,w6d7538b,4,animals (bubble),high,NA,FALSE,0.5068641460343037,4,0.007228214579472056
hockey,0.5157894736842106,w6d7538b,-9,sports (silence),high,1,TRUE,-1.9668349586978964,9,1.3685419603800517
soccer,0.7684210526315789,w6d7538b,0,sports (silence),high,2,TRUE,-0.25427404003714243,0,-1.0818227820609918
baseball,0.7684210526315789,w6d7538b,-5,sports (silence),high,3,TRUE,-1.2056967726264503,5,0.279490963739588
football,0.8842105263157894,w6d7538b,-10,sports (silence),high,4,TRUE,-2.157119505215758,10,1.6408047095401677
tennis,0.3473684210526316,w6d7538b,0,sports (silence),high,5,TRUE,-0.25427404003714243,0,-1.0818227820609918
golf,0.14736842105263157,w6d7538b,0,sports (silence),high,6,TRUE,-0.25427404003714243,0,-1.0818227820609918
basketball,0.631578947368421,w6d7538b,-3,sports (silence),high,7,TRUE,-0.8251276795907271,3,-0.2650345345806439
rugby,0.11578947368421053,w6d7538b,0,sports (silence),high,8,TRUE,-0.25427404003714243,0,-1.0818227820609918
archery,0.021052631578947368,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
bowling,0.021052631578947368,w6d7538b,-7,sports (silence),high,NA,FALSE,-1.5862658656621733,7,0.8240164620598198
boxing,0.042105263157894736,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
cricket,0.05263157894736842,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
diving,0.021052631578947368,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
fencing,0.021052631578947368,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
figure skating,0.08421052631578947,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
gymnastics,0.031578947368421054,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
lacrosse,0.042105263157894736,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
mixed martial arts,0.042105263157894736,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
skiing,0.042105263157894736,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
snowboarding,0.042105263157894736,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
softball,0.06315789473684211,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
swimming,0.09473684210526316,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
track,0.042105263157894736,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
volleyball,0.07368421052631578,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
wrestling,0.042105263157894736,w6d7538b,0,sports (silence),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
history,0.4842105263157895,w6d7538b,9,subjects (magic),high,1,TRUE,1.4582868786236116,9,1.3685419603800517
physics,0.10526315789473684,w6d7538b,2,subjects (magic),high,2,TRUE,0.12629505299858065,2,-0.5372972837407598
chemistry,0.18947368421052632,w6d7538b,1,subjects (magic),high,3,TRUE,-0.06398949351928089,1,-0.8095600329008757
literature,0.12631578947368421,w6d7538b,8,subjects (magic),high,4,TRUE,1.2680023321057499,8,1.0962792112199358
algebra,0.06315789473684211,w6d7538b,0,subjects (magic),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
art,0.12631578947368421,w6d7538b,7,subjects (magic),high,NA,FALSE,1.0777177855878883,7,0.8240164620598198
biology,0.24210526315789474,w6d7538b,0,subjects (magic),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
calculus,0.021052631578947368,w6d7538b,-2,subjects (magic),high,NA,FALSE,-0.6348431330728656,2,-0.5372972837407598
computer science,0.021052631578947368,w6d7538b,0,subjects (magic),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
economics,0.021052631578947368,w6d7538b,0,subjects (magic),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
engineering,0.021052631578947368,w6d7538b,-1,subjects (magic),high,NA,FALSE,-0.44455858655500397,1,-0.8095600329008757
english,0.7052631578947368,w6d7538b,7,subjects (magic),high,NA,FALSE,1.0777177855878883,7,0.8240164620598198
french,0.042105263157894736,w6d7538b,0,subjects (magic),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
geography,0.05263157894736842,w6d7538b,5,subjects (magic),high,NA,FALSE,0.6971486925521653,5,0.279490963739588
geology,0.021052631578947368,w6d7538b,0,subjects (magic),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
geometry,0.042105263157894736,w6d7538b,0,subjects (magic),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
german,0.021052631578947368,w6d7538b,2,subjects (magic),high,NA,FALSE,0.12629505299858065,2,-0.5372972837407598
latin,0.031578947368421054,w6d7538b,7,subjects (magic),high,NA,FALSE,1.0777177855878883,7,0.8240164620598198
math,0.8736842105263158,w6d7538b,0,subjects (magic),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
music,0.042105263157894736,w6d7538b,10,subjects (magic),high,NA,FALSE,1.6485714251414731,10,1.6408047095401677
philosophy,0.031578947368421054,w6d7538b,7,subjects (magic),high,NA,FALSE,1.0777177855878883,7,0.8240164620598198
political science,0.031578947368421054,w6d7538b,2,subjects (magic),high,NA,FALSE,0.12629505299858065,2,-0.5372972837407598
psychology,0.07368421052631578,w6d7538b,10,subjects (magic),high,NA,FALSE,1.6485714251414731,10,1.6408047095401677
religion,0.021052631578947368,w6d7538b,5,subjects (magic),high,NA,FALSE,0.6971486925521653,5,0.279490963739588
science,0.6631578947368421,w6d7538b,0,subjects (magic),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
sociology,0.021052631578947368,w6d7538b,10,subjects (magic),high,NA,FALSE,1.6485714251414731,10,1.6408047095401677
spanish,0.10526315789473684,w6d7538b,10,subjects (magic),high,NA,FALSE,1.6485714251414731,10,1.6408047095401677
statistics,0.021052631578947368,w6d7538b,-2,subjects (magic),high,NA,FALSE,-0.6348431330728656,2,-0.5372972837407598
train,0.8210526315789474,w6d7538b,-5,vehicles (veto),high,1,TRUE,-1.2056967726264503,5,0.279490963739588
bus,0.7894736842105263,w6d7538b,2,vehicles (veto),high,2,TRUE,0.12629505299858065,2,-0.5372972837407598
subway,0.11578947368421053,w6d7538b,-5,vehicles (veto),high,3,TRUE,-1.2056967726264503,5,0.279490963739588
car,0.9789473684210527,w6d7538b,-10,vehicles (veto),high,4,TRUE,-2.157119505215758,10,1.6408047095401677
bicycle,0.6842105263157895,w6d7538b,-2,vehicles (veto),high,5,TRUE,-0.6348431330728656,2,-0.5372972837407598
motorcycle,0.12631578947368421,w6d7538b,1,vehicles (veto),high,6,TRUE,-0.06398949351928089,1,-0.8095600329008757
moped,0.021052631578947368,w6d7538b,5,vehicles (veto),high,7,TRUE,0.6971486925521653,5,0.279490963739588
walking,0.3684210526315789,w6d7538b,-10,vehicles (veto),high,8,TRUE,-2.157119505215758,10,1.6408047095401677
airplane,0.7368421052631579,w6d7538b,-9,vehicles (veto),high,NA,FALSE,-1.9668349586978964,9,1.3685419603800517
boat,0.3473684210526316,w6d7538b,-6,vehicles (veto),high,NA,FALSE,-1.3959813191443118,6,0.551753712899704
cab,0.031578947368421054,w6d7538b,2,vehicles (veto),high,NA,FALSE,0.12629505299858065,2,-0.5372972837407598
ferry,0.021052631578947368,w6d7538b,2,vehicles (veto),high,NA,FALSE,0.12629505299858065,2,-0.5372972837407598
helicopter,0.042105263157894736,w6d7538b,6,vehicles (veto),high,NA,FALSE,0.8874332390700269,6,0.551753712899704
horse,0.05263157894736842,w6d7538b,5,vehicles (veto),high,NA,FALSE,0.6971486925521653,5,0.279490963739588
scooter,0.2,w6d7538b,6,vehicles (veto),high,NA,FALSE,0.8874332390700269,6,0.551753712899704
ship,0.031578947368421054,w6d7538b,-7,vehicles (veto),high,NA,FALSE,-1.5862658656621733,7,0.8240164620598198
skateboard,0.11578947368421053,w6d7538b,-2,vehicles (veto),high,NA,FALSE,-0.6348431330728656,2,-0.5372972837407598
taxi,0.08421052631578947,w6d7538b,2,vehicles (veto),high,NA,FALSE,0.12629505299858065,2,-0.5372972837407598
tram,0.042105263157894736,w6d7538b,3,vehicles (veto),high,NA,FALSE,0.3165795995164422,3,-0.2650345345806439
trolley,0.042105263157894736,w6d7538b,0,vehicles (veto),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
truck,0.16842105263157894,w6d7538b,0,vehicles (veto),high,NA,FALSE,-0.25427404003714243,0,-1.0818227820609918
uber,0.021052631578947368,w6d7538b,-1,vehicles (veto),high,NA,FALSE,-0.44455858655500397,1,-0.8095600329008757
unicycle,0.021052631578947368,w6d7538b,9,vehicles (veto),high,NA,FALSE,1.4582868786236116,9,1.3685419603800517
