bimodal,ideal,passComp,sample,avg
0,1,0,30,37
1,2,0,74,48
1,0,1,19,28
0,1,0,100,98
1,1,1,49,33
0,2,0,47,60
0,1,0,69,33
0,2,1,52,36
1,0,0,34,33
1,2,1,42,40
1,1,1,67,46
1,0,1,38,61
1,1,1,74,48
1,1,1,81,56
0,0,1,21,46
1,1,1,62,54
1,0,1,89,85
1,2,1,36,58
1,2,1,40,39
0,2,1,70,37
1,1,0,85,45
0,1,1,60,51
0,2,1,34,35
1,0,0,56,46
1,0,0,11,65
1,0,1,35,37
0,1,0,100,12
1,1,0,40,44
1,0,1,38,60
1,0,1,58,57
0,2,0,50,30
0,0,1,14,24
1,0,0,20,47
0,0,1,73,52
1,0,1,20,54
0,1,1,89,38
1,0,1,78,52
0,2,1,52,26
1,1,0,92,100
0,2,1,49,49
1,0,1,41,49
1,1,0,79,52
1,1,0,68,30
0,2,1,42,39
0,2,0,59,43
0,2,1,32,43
0,0,1,27,43
0,0,1,27,46
1,0,1,88,54
1,1,1,78,48
1,2,0,47,68
0,1,1,56,36
0,1,1,67,36
0,2,0,45,33
1,0,0,40,66
1,1,1,93,82
0,0,0,63,77
1,2,1,38,45
1,1,1,76,58
1,2,0,32,73
1,2,1,37,53
0,2,1,36,24
0,2,1,38,46
0,0,1,21,35
0,0,1,21,49
1,2,1,47,37
0,0,1,12,19
1,2,1,31,35
1,2,1,52,41
1,0,0,87,60
1,2,0,97,100
0,1,0,56,37
0,2,1,49,33
0,0,1,9,23
0,1,0,100,85
0,2,0,26,49
0,2,1,61,60
1,1,1,94,51
1,0,0,20,100
0,1,1,93,62
0,1,1,58,41
1,2,0,42,46
1,0,0,100,100
0,1,0,47,28
1,1,1,52,49
1,0,0,100,52
0,2,1,39,47
0,0,1,31,29
1,2,1,49,49
0,0,0,51,80
1,0,1,34,33
1,1,1,93,48
0,0,0,20,60
0,1,1,74,56
1,1,1,51,49
0,2,0,57,71
0,1,0,27,52
1,0,1,25,48
1,2,1,14,28
1,0,1,84,88
1,2,0,100,100
0,1,1,49,59
0,1,1,31,46
1,0,1,74,57
0,2,1,47,48
0,0,0,18,44
