wid,outcome,evaluation,cat_id,prompt_id
w30e4d79,mixed martial arts,1,SPORTS,Sports (season)
w30e4d79,diving,-10,SPORTS,Sports (season)
w30e4d79,swimming,-10,SPORTS,Sports (season)
w30e4d79,skiing,-10,SPORTS,Sports (season)
w30e4d79,hockey,-10,SPORTS,Sports (season)
w30e4d79,football,-10,SPORTS,Sports (season)
w30e4d79,volleyball,-10,SPORTS,Sports (season)
w30e4d79,basketball,-10,SPORTS,Sports (season)
w30e4d79,archery,-10,SPORTS,Sports (season)
w30e4d79,lacrosse,-10,SPORTS,Sports (season)
w30e4d79,snowboarding,-10,SPORTS,Sports (season)
w30e4d79,softball,-10,SPORTS,Sports (season)
w30e4d79,golf,-10,SPORTS,Sports (season)
w30e4d79,wrestling,-5,SPORTS,Sports (season)
w30e4d79,track,-10,SPORTS,Sports (season)
w30e4d79,truck,2,TRANSPORT,Vehicles (commute)
w30e4d79,ferry,-1,TRANSPORT,Vehicles (commute)
w30e4d79,unicycle,-10,TRANSPORT,Vehicles (commute)
w30e4d79,tram,1,TRANSPORT,Vehicles (commute)
w30e4d79,horse,-10,TRANSPORT,Vehicles (commute)
w30e4d79,bus,2,TRANSPORT,Vehicles (commute)
w30e4d79,airplane,-5,TRANSPORT,Vehicles (commute)
w30e4d79,moped,1,TRANSPORT,Vehicles (commute)
w30e4d79,scooter,-10,TRANSPORT,Vehicles (commute)
w30e4d79,ship,1,TRANSPORT,Vehicles (commute)
w30e4d79,trolley,-1,TRANSPORT,Vehicles (commute)
w30e4d79,helicopter,2,TRANSPORT,Vehicles (commute)
w30e4d79,train,1,TRANSPORT,Vehicles (commute)
w30e4d79,subway,3,TRANSPORT,Vehicles (commute)
w30e4d79,skateboard,-10,TRANSPORT,Vehicles (commute)
w30e4d79,motorcycle,8,TRANSPORT,Vehicles (commute)
w30e4d79,walking,3,TRANSPORT,Vehicles (commute)
w30e4d79,car,10,TRANSPORT,Vehicles (commute)
w30e4d79,taxi,2,TRANSPORT,Vehicles (commute)
w30e4d79,uber,4,TRANSPORT,Vehicles (commute)
w30e4d79,bicycle,6,TRANSPORT,Vehicles (commute)
w30e4d79,boat,1,TRANSPORT,Vehicles (commute)
w30e4d79,tiger,-10,ANIMALS,Animals (intimate)
w30e4d79,shark,-10,ANIMALS,Animals (intimate)
w30e4d79,otter,4,ANIMALS,Animals (intimate)
w30e4d79,zebra,4,ANIMALS,Animals (intimate)
w30e4d79,cheetah,-6,ANIMALS,Animals (intimate)
w30e4d79,snake,-10,ANIMALS,Animals (intimate)
w30e4d79,alligator,-10,ANIMALS,Animals (intimate)
w30e4d79,monkey,-10,ANIMALS,Animals (intimate)
w30e4d79,sea lion,3,ANIMALS,Animals (intimate)
w30e4d79,llama,-4,ANIMALS,Animals (intimate)
w30e4d79,dolphin,2,ANIMALS,Animals (intimate)
w30e4d79,ostrich,-8,ANIMALS,Animals (intimate)
w30e4d79,lion,-10,ANIMALS,Animals (intimate)
w30e4d79,giraffe,-8,ANIMALS,Animals (intimate)
w30e4d79,seal,3,ANIMALS,Animals (intimate)
w30e4d79,meerkat,4,ANIMALS,Animals (intimate)
w30e4d79,leopard,-10,ANIMALS,Animals (intimate)
w30e4d79,wolf,-10,ANIMALS,Animals (intimate)
w30e4d79,hippo,-10,ANIMALS,Animals (intimate)
w30e4d79,frog,5,ANIMALS,Animals (intimate)
w30e4d79,fish,4,ANIMALS,Animals (intimate)
w30e4d79,crocodile,-10,ANIMALS,Animals (intimate)
w30e4d79,lizard,3,ANIMALS,Animals (intimate)
w30e4d79,rhinoceros,-10,ANIMALS,Animals (intimate)
w30e4d79,polar bear,-10,ANIMALS,Animals (intimate)
w30e4d79,turtle,6,ANIMALS,Animals (intimate)
w30e4d79,bear,-10,ANIMALS,Animals (intimate)
w30e4d79,koala,6,ANIMALS,Animals (intimate)
w30e4d79,gorilla,-10,ANIMALS,Animals (intimate)
w30e4d79,kangaroo,-10,ANIMALS,Animals (intimate)
w30e4d79,flamingo,5,ANIMALS,Animals (intimate)
w30e4d79,horse,1,ANIMALS,Animals (intimate)
w30e4d79,penguin,4,ANIMALS,Animals (intimate)
w30e4d79,elephant,-10,ANIMALS,Animals (intimate)
w30e4d79,lemur,1,ANIMALS,Animals (intimate)
w30e4d79,bird,3,ANIMALS,Animals (intimate)
w30e4d79,panda,-10,ANIMALS,Animals (intimate)
w48a91d2,UNK,6,EUROCITIES,PRACTICE
w48a91d2,UNK,3,EUROCITIES,PRACTICE
w48a91d2,UNK,0,EUROCITIES,PRACTICE
w48a91d2,UNK,1,EUROCITIES,PRACTICE
w48a91d2,UNK,2,EUROCITIES,PRACTICE
w48a91d2,UNK,8,EUROCITIES,PRACTICE
w48a91d2,UNK,9,EUROCITIES,PRACTICE
w48a91d2,UNK,10,EUROCITIES,PRACTICE
w48a91d2,monkey,1,ANIMALS,Animals (intimate)
w48a91d2,hippo,4,ANIMALS,Animals (intimate)
w48a91d2,meerkat,1,ANIMALS,Animals (intimate)
w48a91d2,frog,0,ANIMALS,Animals (intimate)
w48a91d2,shark,3,ANIMALS,Animals (intimate)
w48a91d2,giraffe,9,ANIMALS,Animals (intimate)
w48a91d2,otter,3,ANIMALS,Animals (intimate)
w48a91d2,bear,8,ANIMALS,Animals (intimate)
w48a91d2,seal,5,ANIMALS,Animals (intimate)
w48a91d2,elephant,5,ANIMALS,Animals (intimate)
w48a91d2,tiger,9,ANIMALS,Animals (intimate)
w48a91d2,sea lion,6,ANIMALS,Animals (intimate)
w48a91d2,koala,3,ANIMALS,Animals (intimate)
w48a91d2,dolphin,10,ANIMALS,Animals (intimate)
w48a91d2,cheetah,5,ANIMALS,Animals (intimate)
w48a91d2,crocodile,3,ANIMALS,Animals (intimate)
w48a91d2,snake,-3,ANIMALS,Animals (intimate)
w48a91d2,llama,4,ANIMALS,Animals (intimate)
w48a91d2,zebra,3,ANIMALS,Animals (intimate)
w48a91d2,kangaroo,3,ANIMALS,Animals (intimate)
w48a91d2,turtle,1,ANIMALS,Animals (intimate)
w48a91d2,polar bear,10,ANIMALS,Animals (intimate)
w48a91d2,wolf,1,ANIMALS,Animals (intimate)
w48a91d2,panda,8,ANIMALS,Animals (intimate)
w48a91d2,penguin,8,ANIMALS,Animals (intimate)
w48a91d2,leopard,4,ANIMALS,Animals (intimate)
w48a91d2,lemur,-1,ANIMALS,Animals (intimate)
w48a91d2,bird,-4,ANIMALS,Animals (intimate)
w48a91d2,rhinoceros,5,ANIMALS,Animals (intimate)
w48a91d2,alligator,1,ANIMALS,Animals (intimate)
w48a91d2,gorilla,2,ANIMALS,Animals (intimate)
w48a91d2,horse,-2,ANIMALS,Animals (intimate)
w48a91d2,ostrich,-1,ANIMALS,Animals (intimate)
w48a91d2,flamingo,2,ANIMALS,Animals (intimate)
w48a91d2,fish,1,ANIMALS,Animals (intimate)
w48a91d2,lion,10,ANIMALS,Animals (intimate)
w48a91d2,lizard,-5,ANIMALS,Animals (intimate)
w48a91d2,mixed martial arts,-5,SPORTS,Sports (season)
w48a91d2,snowboarding,4,SPORTS,Sports (season)
w48a91d2,soccer,3,SPORTS,Sports (season)
w48a91d2,track,6,SPORTS,Sports (season)
w48a91d2,skiing,4,SPORTS,Sports (season)
w48a91d2,tennis,3,SPORTS,Sports (season)
w48a91d2,figure skating,-1,SPORTS,Sports (season)
w48a91d2,swimming,-1,SPORTS,Sports (season)
w48a91d2,wrestling,-6,SPORTS,Sports (season)
w48a91d2,football,-2,SPORTS,Sports (season)
w48a91d2,softball,-1,SPORTS,Sports (season)
w48a91d2,basketball,5,SPORTS,Sports (season)
w48a91d2,hockey,1,SPORTS,Sports (season)
w48a91d2,baseball,-5,SPORTS,Sports (season)
w48a91d2,rugby,-2,SPORTS,Sports (season)
w48a91d2,gymnastics,-6,SPORTS,Sports (season)
w48a91d2,archery,-3,SPORTS,Sports (season)
w48a91d2,diving,1,SPORTS,Sports (season)
w48a91d2,boxing,1,SPORTS,Sports (season)
w48a91d2,lacrosse,-6,SPORTS,Sports (season)
w48a91d2,fencing,-6,SPORTS,Sports (season)
w48a91d2,cricket,-8,SPORTS,Sports (season)
w48a91d2,volleyball,5,SPORTS,Sports (season)
w48a91d2,golf,-5,SPORTS,Sports (season)
w48a91d2,bowling,2,SPORTS,Sports (season)
w48a91d2,subway,-2,TRANSPORT,Vehicles (commute)
w48a91d2,ferry,0,TRANSPORT,Vehicles (commute)
w48a91d2,boat,1,TRANSPORT,Vehicles (commute)
w48a91d2,tram,-2,TRANSPORT,Vehicles (commute)
w48a91d2,skateboard,-10,TRANSPORT,Vehicles (commute)
w48a91d2,bus,-3,TRANSPORT,Vehicles (commute)
w48a91d2,taxi,3,TRANSPORT,Vehicles (commute)
w48a91d2,scooter,-6,TRANSPORT,Vehicles (commute)
w48a91d2,bicycle,-4,TRANSPORT,Vehicles (commute)
w48a91d2,unicycle,-9,TRANSPORT,Vehicles (commute)
w48a91d2,moped,-5,TRANSPORT,Vehicles (commute)
w48a91d2,truck,-1,TRANSPORT,Vehicles (commute)
w48a91d2,motorcycle,-5,TRANSPORT,Vehicles (commute)
w48a91d2,helicopter,8,TRANSPORT,Vehicles (commute)
w48a91d2,airplane,5,TRANSPORT,Vehicles (commute)
w48a91d2,ship,6,TRANSPORT,Vehicles (commute)
w48a91d2,car,0,TRANSPORT,Vehicles (commute)
w48a91d2,horse,-8,TRANSPORT,Vehicles (commute)
w48a91d2,train,-3,TRANSPORT,Vehicles (commute)
w48a91d2,walking,2,TRANSPORT,Vehicles (commute)
w48a91d2,uber,4,TRANSPORT,Vehicles (commute)
w48a91d2,trolley,-10,TRANSPORT,Vehicles (commute)
w48a91d2,spanish,1,SUBJECTS,Subjects (school)
w48a91d2,german,-6,SUBJECTS,Subjects (school)
w48a91d2,geometry,-10,SUBJECTS,Subjects (school)
w48a91d2,biology,-10,SUBJECTS,Subjects (school)
w48a91d2,sociology,-2,SUBJECTS,Subjects (school)
w48a91d2,math,-8,SUBJECTS,Subjects (school)
w48a91d2,physics,3,SUBJECTS,Subjects (school)
w48a91d2,statistics,-6,SUBJECTS,Subjects (school)
w48a91d2,political science,-8,SUBJECTS,Subjects (school)
w48a91d2,latin,-8,SUBJECTS,Subjects (school)
w48a91d2,algebra,-4,SUBJECTS,Subjects (school)
w48a91d2,psychology,-4,SUBJECTS,Subjects (school)
w48a91d2,chemistry,2,SUBJECTS,Subjects (school)
w48a91d2,science,4,SUBJECTS,Subjects (school)
w48a91d2,literature,-3,SUBJECTS,Subjects (school)
w48a91d2,history,-4,SUBJECTS,Subjects (school)
w48a91d2,philosophy,-5,SUBJECTS,Subjects (school)
w48a91d2,geography,1,SUBJECTS,Subjects (school)
w48a91d2,religion,-10,SUBJECTS,Subjects (school)
w48a91d2,economics,4,SUBJECTS,Subjects (school)
w48a91d2,french,-10,SUBJECTS,Subjects (school)
w48a91d2,music,-4,SUBJECTS,Subjects (school)
w48a91d2,geology,-3,SUBJECTS,Subjects (school)
w48a91d2,calculus,-7,SUBJECTS,Subjects (school)
w48a91d2,engineering,4,SUBJECTS,Subjects (school)
w48a91d2,art,-6,SUBJECTS,Subjects (school)
w48a91d2,computer science,6,SUBJECTS,Subjects (school)
w48a91d2,english,1,SUBJECTS,Subjects (school)
we233074,UNK,9,EUROCITIES,PRACTICE
we233074,UNK,2,EUROCITIES,PRACTICE
we233074,UNK,4,EUROCITIES,PRACTICE
we233074,UNK,5,EUROCITIES,PRACTICE
we233074,UNK,7,EUROCITIES,PRACTICE
we233074,UNK,10,EUROCITIES,PRACTICE
we233074,UNK,9,EUROCITIES,PRACTICE
we233074,UNK,7,EUROCITIES,PRACTICE
we233074,gymnastics,0,SPORTS,Sports (season)
we233074,archery,-5,SPORTS,Sports (season)
we233074,baseball,-1,SPORTS,Sports (season)
we233074,track,-5,SPORTS,Sports (season)
we233074,diving,0,SPORTS,Sports (season)
we233074,soccer,-4,SPORTS,Sports (season)
we233074,fencing,-8,SPORTS,Sports (season)
we233074,football,-5,SPORTS,Sports (season)
we233074,bowling,0,SPORTS,Sports (season)
we233074,mixed martial arts,0,SPORTS,Sports (season)
we233074,tennis,-2,SPORTS,Sports (season)
we233074,volleyball,0,SPORTS,Sports (season)
we233074,wrestling,0,SPORTS,Sports (season)
we233074,snowboarding,-6,SPORTS,Sports (season)
we233074,hockey,-3,SPORTS,Sports (season)
we233074,lacrosse,-6,SPORTS,Sports (season)
we233074,basketball,-5,SPORTS,Sports (season)
we233074,boxing,0,SPORTS,Sports (season)
we233074,figure skating,0,SPORTS,Sports (season)
we233074,golf,0,SPORTS,Sports (season)
we233074,rugby,-8,SPORTS,Sports (season)
we233074,skiing,-8,SPORTS,Sports (season)
we233074,softball,-6,SPORTS,Sports (season)
we233074,cricket,-9,SPORTS,Sports (season)
we233074,swimming,-2,SPORTS,Sports (season)
we233074,psychology,-9,SUBJECTS,Subjects (school)
we233074,art,-8,SUBJECTS,Subjects (school)
we233074,english,-8,SUBJECTS,Subjects (school)
we233074,history,-6,SUBJECTS,Subjects (school)
we233074,statistics,-6,SUBJECTS,Subjects (school)
we233074,latin,-8,SUBJECTS,Subjects (school)
we233074,calculus,-7,SUBJECTS,Subjects (school)
we233074,physics,-7,SUBJECTS,Subjects (school)
we233074,political science,-7,SUBJECTS,Subjects (school)
we233074,engineering,-7,SUBJECTS,Subjects (school)
we233074,geometry,-6,SUBJECTS,Subjects (school)
we233074,geology,-7,SUBJECTS,Subjects (school)
we233074,philosophy,-6,SUBJECTS,Subjects (school)
we233074,biology,-7,SUBJECTS,Subjects (school)
we233074,german,-9,SUBJECTS,Subjects (school)
we233074,literature,-6,SUBJECTS,Subjects (school)
we233074,geography,-6,SUBJECTS,Subjects (school)
we233074,music,-3,SUBJECTS,Subjects (school)
we233074,algebra,-8,SUBJECTS,Subjects (school)
we233074,chemistry,-7,SUBJECTS,Subjects (school)
we233074,spanish,-5,SUBJECTS,Subjects (school)
we233074,math,-6,SUBJECTS,Subjects (school)
we233074,science,-6,SUBJECTS,Subjects (school)
we233074,computer science,-6,SUBJECTS,Subjects (school)
we233074,french,-9,SUBJECTS,Subjects (school)
we233074,sociology,-7,SUBJECTS,Subjects (school)
we233074,religion,-5,SUBJECTS,Subjects (school)
we233074,economics,-5,SUBJECTS,Subjects (school)
we233074,bird,0,ANIMALS,Animals (intimate)
we233074,lemur,0,ANIMALS,Animals (intimate)
we233074,sea lion,0,ANIMALS,Animals (intimate)
we233074,snake,0,ANIMALS,Animals (intimate)
we233074,crocodile,0,ANIMALS,Animals (intimate)
we233074,frog,4,ANIMALS,Animals (intimate)
we233074,panda,5,ANIMALS,Animals (intimate)
we233074,tiger,0,ANIMALS,Animals (intimate)
we233074,dolphin,5,ANIMALS,Animals (intimate)
we233074,lion,0,ANIMALS,Animals (intimate)
we233074,lizard,0,ANIMALS,Animals (intimate)
we233074,monkey,5,ANIMALS,Animals (intimate)
we233074,kangaroo,5,ANIMALS,Animals (intimate)
we233074,elephant,5,ANIMALS,Animals (intimate)
we233074,wolf,4,ANIMALS,Animals (intimate)
we233074,turtle,4,ANIMALS,Animals (intimate)
we233074,leopard,0,ANIMALS,Animals (intimate)
we233074,llama,0,ANIMALS,Animals (intimate)
we233074,otter,5,ANIMALS,Animals (intimate)
we233074,fish,5,ANIMALS,Animals (intimate)
we233074,zebra,4,ANIMALS,Animals (intimate)
we233074,cheetah,0,ANIMALS,Animals (intimate)
we233074,alligator,0,ANIMALS,Animals (intimate)
we233074,meerkat,5,ANIMALS,Animals (intimate)
we233074,flamingo,5,ANIMALS,Animals (intimate)
we233074,koala,6,ANIMALS,Animals (intimate)
we233074,giraffe,5,ANIMALS,Animals (intimate)
we233074,horse,7,ANIMALS,Animals (intimate)
we233074,hippo,0,ANIMALS,Animals (intimate)
we233074,gorilla,0,ANIMALS,Animals (intimate)
we233074,penguin,8,ANIMALS,Animals (intimate)
we233074,seal,6,ANIMALS,Animals (intimate)
we233074,ostrich,3,ANIMALS,Animals (intimate)
we233074,rhinoceros,0,ANIMALS,Animals (intimate)
we233074,bear,1,ANIMALS,Animals (intimate)
we233074,polar bear,3,ANIMALS,Animals (intimate)
we233074,shark,0,ANIMALS,Animals (intimate)
we233074,unicycle,-10,TRANSPORT,Vehicles (commute)
we233074,horse,-10,TRANSPORT,Vehicles (commute)
we233074,ship,-10,TRANSPORT,Vehicles (commute)
we233074,scooter,-10,TRANSPORT,Vehicles (commute)
we233074,car,10,TRANSPORT,Vehicles (commute)
we233074,uber,-2,TRANSPORT,Vehicles (commute)
we233074,bicycle,-10,TRANSPORT,Vehicles (commute)
we233074,walking,-10,TRANSPORT,Vehicles (commute)
we233074,taxi,-10,TRANSPORT,Vehicles (commute)
we233074,trolley,-10,TRANSPORT,Vehicles (commute)
we233074,airplane,-10,TRANSPORT,Vehicles (commute)
we233074,ferry,-10,TRANSPORT,Vehicles (commute)
we233074,boat,-10,TRANSPORT,Vehicles (commute)
we233074,bus,-10,TRANSPORT,Vehicles (commute)
we233074,helicopter,-10,TRANSPORT,Vehicles (commute)
we233074,truck,0,TRANSPORT,Vehicles (commute)
we233074,tram,-10,TRANSPORT,Vehicles (commute)
we233074,train,-10,TRANSPORT,Vehicles (commute)
we233074,moped,-10,TRANSPORT,Vehicles (commute)
we233074,skateboard,-10,TRANSPORT,Vehicles (commute)
we233074,motorcycle,-10,TRANSPORT,Vehicles (commute)
we233074,subway,-10,TRANSPORT,Vehicles (commute)
w48d5501,UNK,6,EUROCITIES,PRACTICE
w48d5501,UNK,8,EUROCITIES,PRACTICE
w48d5501,UNK,3,EUROCITIES,PRACTICE
w48d5501,UNK,3,EUROCITIES,PRACTICE
w48d5501,UNK,0,EUROCITIES,PRACTICE
w48d5501,UNK,10,EUROCITIES,PRACTICE
w48d5501,UNK,-2,EUROCITIES,PRACTICE
w48d5501,UNK,1,EUROCITIES,PRACTICE
w48d5501,ostrich,2,ANIMALS,Animals (intimate)
w48d5501,flamingo,6,ANIMALS,Animals (intimate)
w48d5501,panda,8,ANIMALS,Animals (intimate)
w48d5501,polar bear,-6,ANIMALS,Animals (intimate)
w48d5501,koala,3,ANIMALS,Animals (intimate)
w48d5501,alligator,-7,ANIMALS,Animals (intimate)
w48d5501,giraffe,2,ANIMALS,Animals (intimate)
w48d5501,snake,-5,ANIMALS,Animals (intimate)
w48d5501,leopard,-9,ANIMALS,Animals (intimate)
w48d5501,meerkat,9,ANIMALS,Animals (intimate)
w48d5501,bear,-10,ANIMALS,Animals (intimate)
w48d5501,kangaroo,3,ANIMALS,Animals (intimate)
w48d5501,horse,4,ANIMALS,Animals (intimate)
w48d5501,bird,5,ANIMALS,Animals (intimate)
w48d5501,dolphin,0,ANIMALS,Animals (intimate)
w48d5501,fish,0,ANIMALS,Animals (intimate)
w48d5501,lizard,4,ANIMALS,Animals (intimate)
w48d5501,crocodile,-10,ANIMALS,Animals (intimate)
w48d5501,elephant,-2,ANIMALS,Animals (intimate)
w48d5501,seal,1,ANIMALS,Animals (intimate)
w48d5501,shark,-9,ANIMALS,Animals (intimate)
w48d5501,wolf,0,ANIMALS,Animals (intimate)
w48d5501,sea lion,3,ANIMALS,Animals (intimate)
w48d5501,lion,-10,ANIMALS,Animals (intimate)
w48d5501,tiger,-10,ANIMALS,Animals (intimate)
w48d5501,llama,2,ANIMALS,Animals (intimate)
w48d5501,lemur,3,ANIMALS,Animals (intimate)
w48d5501,turtle,6,ANIMALS,Animals (intimate)
w48d5501,rhinoceros,-9,ANIMALS,Animals (intimate)
w48d5501,cheetah,-10,ANIMALS,Animals (intimate)
w48d5501,monkey,4,ANIMALS,Animals (intimate)
w48d5501,frog,10,ANIMALS,Animals (intimate)
w48d5501,hippo,-3,ANIMALS,Animals (intimate)
w48d5501,otter,8,ANIMALS,Animals (intimate)
w48d5501,penguin,8,ANIMALS,Animals (intimate)
w48d5501,zebra,2,ANIMALS,Animals (intimate)
w48d5501,gorilla,2,ANIMALS,Animals (intimate)
w48d5501,chemistry,5,SUBJECTS,Subjects (school)
w48d5501,math,1,SUBJECTS,Subjects (school)
w48d5501,spanish,2,SUBJECTS,Subjects (school)
w48d5501,algebra,-2,SUBJECTS,Subjects (school)
w48d5501,french,2,SUBJECTS,Subjects (school)
w48d5501,english,-1,SUBJECTS,Subjects (school)
w48d5501,biology,3,SUBJECTS,Subjects (school)
w48d5501,geography,6,SUBJECTS,Subjects (school)
w48d5501,computer science,10,SUBJECTS,Subjects (school)
w48d5501,literature,2,SUBJECTS,Subjects (school)
w48d5501,music,5,SUBJECTS,Subjects (school)
w48d5501,statistics,4,SUBJECTS,Subjects (school)
w48d5501,calculus,-3,SUBJECTS,Subjects (school)
w48d5501,latin,9,SUBJECTS,Subjects (school)
w48d5501,history,6,SUBJECTS,Subjects (school)
w48d5501,engineering,9,SUBJECTS,Subjects (school)
w48d5501,psychology,3,SUBJECTS,Subjects (school)
w48d5501,art,-2,SUBJECTS,Subjects (school)
w48d5501,sociology,3,SUBJECTS,Subjects (school)
w48d5501,physics,-4,SUBJECTS,Subjects (school)
w48d5501,political science,-10,SUBJECTS,Subjects (school)
w48d5501,economics,8,SUBJECTS,Subjects (school)
w48d5501,german,4,SUBJECTS,Subjects (school)
w48d5501,religion,2,SUBJECTS,Subjects (school)
w48d5501,geometry,3,SUBJECTS,Subjects (school)
w48d5501,geology,7,SUBJECTS,Subjects (school)
w48d5501,philosophy,9,SUBJECTS,Subjects (school)
w48d5501,science,3,SUBJECTS,Subjects (school)
w48d5501,diving,-3,SPORTS,Sports (season)
w48d5501,snowboarding,-5,SPORTS,Sports (season)
w48d5501,basketball,-1,SPORTS,Sports (season)
w48d5501,tennis,-3,SPORTS,Sports (season)
w48d5501,volleyball,-4,SPORTS,Sports (season)
w48d5501,swimming,0,SPORTS,Sports (season)
w48d5501,wrestling,-2,SPORTS,Sports (season)
w48d5501,golf,-9,SPORTS,Sports (season)
w48d5501,boxing,-1,SPORTS,Sports (season)
w48d5501,hockey,-3,SPORTS,Sports (season)
w48d5501,fencing,5,SPORTS,Sports (season)
w48d5501,mixed martial arts,1,SPORTS,Sports (season)
w48d5501,skiing,-6,SPORTS,Sports (season)
w48d5501,track,-8,SPORTS,Sports (season)
w48d5501,lacrosse,-9,SPORTS,Sports (season)
w48d5501,cricket,-10,SPORTS,Sports (season)
w48d5501,figure skating,-7,SPORTS,Sports (season)
w48d5501,soccer,-9,SPORTS,Sports (season)
w48d5501,football,-10,SPORTS,Sports (season)
w48d5501,bowling,-8,SPORTS,Sports (season)
w48d5501,softball,-10,SPORTS,Sports (season)
w48d5501,rugby,0,SPORTS,Sports (season)
w48d5501,gymnastics,-8,SPORTS,Sports (season)
w48d5501,baseball,0,SPORTS,Sports (season)
w48d5501,archery,3,SPORTS,Sports (season)
w48d5501,uber,4,TRANSPORT,Vehicles (commute)
w48d5501,bus,1,TRANSPORT,Vehicles (commute)
w48d5501,train,3,TRANSPORT,Vehicles (commute)
w48d5501,truck,1,TRANSPORT,Vehicles (commute)
w48d5501,motorcycle,-3,TRANSPORT,Vehicles (commute)
w48d5501,walking,-2,TRANSPORT,Vehicles (commute)
w48d5501,horse,1,TRANSPORT,Vehicles (commute)
w48d5501,scooter,-1,TRANSPORT,Vehicles (commute)
w48d5501,unicycle,-10,TRANSPORT,Vehicles (commute)
w48d5501,subway,5,TRANSPORT,Vehicles (commute)
w48d5501,tram,4,TRANSPORT,Vehicles (commute)
w48d5501,bicycle,6,TRANSPORT,Vehicles (commute)
w48d5501,boat,-2,TRANSPORT,Vehicles (commute)
w48d5501,skateboard,0,TRANSPORT,Vehicles (commute)
w48d5501,trolley,3,TRANSPORT,Vehicles (commute)
w48d5501,airplane,-10,TRANSPORT,Vehicles (commute)
w48d5501,helicopter,5,TRANSPORT,Vehicles (commute)
w48d5501,taxi,-8,TRANSPORT,Vehicles (commute)
w48d5501,ship,-4,TRANSPORT,Vehicles (commute)
w48d5501,moped,-1,TRANSPORT,Vehicles (commute)
w48d5501,car,8,TRANSPORT,Vehicles (commute)
w48d5501,ferry,-7,TRANSPORT,Vehicles (commute)
w2604590,UNK,10,EUROCITIES,PRACTICE
w2604590,UNK,10,EUROCITIES,PRACTICE
w2604590,UNK,10,EUROCITIES,PRACTICE
w2604590,UNK,4,EUROCITIES,PRACTICE
w2604590,UNK,10,EUROCITIES,PRACTICE
w2604590,UNK,10,EUROCITIES,PRACTICE
w2604590,UNK,5,EUROCITIES,PRACTICE
w2604590,UNK,4,EUROCITIES,PRACTICE
w2604590,softball,10,SPORTS,Sports (silence)
w2604590,basketball,4,SPORTS,Sports (silence)
w2604590,wrestling,10,SPORTS,Sports (silence)
w2604590,track,10,SPORTS,Sports (silence)
w2604590,hockey,9,SPORTS,Sports (silence)
w2604590,archery,3,SPORTS,Sports (silence)
w2604590,fencing,0,SPORTS,Sports (silence)
w2604590,mixed martial arts,6,SPORTS,Sports (silence)
w2604590,baseball,3,SPORTS,Sports (silence)
w2604590,tennis,6,SPORTS,Sports (silence)
w2604590,lacrosse,10,SPORTS,Sports (silence)
w2604590,cricket,10,SPORTS,Sports (silence)
w2604590,snowboarding,8,SPORTS,Sports (silence)
