wid,outcome,evaluation,cat_id,prompt_id
w30e4d79,UNK,1,EUROCITIES,PRACTICE
w30e4d79,UNK,3,EUROCITIES,PRACTICE
w30e4d79,UNK,10,EUROCITIES,PRACTICE
w30e4d79,UNK,8,EUROCITIES,PRACTICE
w30e4d79,UNK,4,EUROCITIES,PRACTICE
w30e4d79,UNK,4,EUROCITIES,PRACTICE
w30e4d79,UNK,8,EUROCITIES,PRACTICE
w30e4d79,UNK,4,EUROCITIES,PRACTICE
w30e4d79,calculus,4,SUBJECTS,Subjects (school)
w30e4d79,math,6,SUBJECTS,Subjects (school)
w30e4d79,computer science,9,SUBJECTS,Subjects (school)
w30e4d79,philosophy,3,SUBJECTS,Subjects (school)
w30e4d79,political science,-1,SUBJECTS,Subjects (school)
w30e4d79,algebra,8,SUBJECTS,Subjects (school)
w30e4d79,science,3,SUBJECTS,Subjects (school)
w30e4d79,geometry,0,SUBJECTS,Subjects (school)
w30e4d79,geography,-2,SUBJECTS,Subjects (school)
w30e4d79,psychology,1,SUBJECTS,Subjects (school)
w30e4d79,biology,-5,SUBJECTS,Subjects (school)
w30e4d79,engineering,-1,SUBJECTS,Subjects (school)
w30e4d79,economics,5,SUBJECTS,Subjects (school)
w30e4d79,spanish,-7,SUBJECTS,Subjects (school)
w30e4d79,art,5,SUBJECTS,Subjects (school)
w30e4d79,german,2,SUBJECTS,Subjects (school)
w30e4d79,chemistry,-2,SUBJECTS,Subjects (school)
w30e4d79,literature,6,SUBJECTS,Subjects (school)
w30e4d79,french,1,SUBJECTS,Subjects (school)
w30e4d79,religion,-5,SUBJECTS,Subjects (school)
w30e4d79,geology,-4,SUBJECTS,Subjects (school)
w30e4d79,sociology,-3,SUBJECTS,Subjects (school)
w30e4d79,history,-7,SUBJECTS,Subjects (school)
w30e4d79,physics,2,SUBJECTS,Subjects (school)
w30e4d79,latin,-5,SUBJECTS,Subjects (school)
w30e4d79,statistics,4,SUBJECTS,Subjects (school)
w30e4d79,music,10,SUBJECTS,Subjects (school)
w30e4d79,english,4,SUBJECTS,Subjects (school)
w30e4d79,bowling,1,SPORTS,Sports (season)
w30e4d79,fencing,-10,SPORTS,Sports (season)
w30e4d79,tennis,-10,SPORTS,Sports (season)
w30e4d79,cricket,-10,SPORTS,Sports (season)
w30e4d79,rugby,-10,SPORTS,Sports (season)
w30e4d79,baseball,-10,SPORTS,Sports (season)
w30e4d79,soccer,-10,SPORTS,Sports (season)
w30e4d79,figure skating,-10,SPORTS,Sports (season)
w30e4d79,boxing,5,SPORTS,Sports (season)
w30e4d79,gymnastics,-10,SPORTS,Sports (season)
