wid,control,consideration_time,reflection_time,n_considered,n_unconsidered,comp_free,comp_radio,completed,bonus,version
w6d7538b,high,8,10,100,100,You choose which city you want to visit off the board,False,True,0.0,v3.0
w6c23a1b,high,8,10,100,100,whichever I want to travel to the most and has the most experiences I want,False,True,0.0,v3.0
