wid,control,consideration_time,reflection_time,n_considered,n_unconsidered,bonus,completed,version
w7819bac,low,8,10,100,100,0.0,True,v1.0
w6277869,low,8,10,100,100,0.0,True,v1.0
w7ac9a11,low,8,10,100,100,0.0,True,v1.0
wd8d1a5f,low,8,10,100,100,0.0,False,v1.0
wef0dc82,low,8,10,100,100,0.0,True,v1.0
wbf4d7fb,low,8,10,100,100,0.0,True,v1.0
